,p0,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,s11,s12,s13,s14,s15,s16,s17,s18,s19,s20,s21,s22,s23,s24,s25,s26,s27,s28,s29,s30,s31,s32,s33,s34,s35,s36,s37,s38,s39,s40,s41,s42,s43,s44,s45,s46,s47,s48,s49,s50,s51,s52,s53,s54,s55,s56,s57,s58,s59,s60,s61,s62,s63,s64,s65,s66,s67,s68,s69,s70,s71,s72,s73,s74,s75,s76,s77,s78,s79,s80,s81,s82,s83,s84,s85,s86,s87,s88,s89,s90,s91,s92,s93,s94,s95,s96,time
p0,1.0,0.006291229171911164,-0.027577566813414736,0.02196223230084103,0.00275385861881496,0.006099608010413843,0.01360380063554241,-0.005341848010511541,0.0320167670892293,0.02087997228450568,0.022840426758159508,0.005421012652862318,-0.016294032117878242,0.016886322872306837,-0.016577206299932014,-0.016202117102842025,0.006154219567237793,-0.018261234807821318,,,,-0.002555877373755822,5.38317731973559e-05,-0.0025806409830094745,-0.025436733344982,-0.023409049658182905,,,,-0.02440150598702943,-0.0037854631457778626,0.018285217208315645,-0.016209118057282642,0.02088191080319693,,-0.005172958251438769,-0.005172958251438769,0.03413482251767336,0.008183593714695042,0.0029772351946130314,0.010624662568607226,-0.013560258720143594,,-0.0406732697698502,-0.0406732697698502,-0.009336635154524696,-0.017727440439137352,-0.0029079320820760675,-0.03991934795406773,0.02463509712043529,,-0.0003446222863340276,0.0013424258309767702,-0.0024276107693325306,-0.00175183763872292,0.007832174859163484,-0.03216545039291137,-0.017115412256431792,,-0.015335622823650882,-0.016652017777230733,0.0005358205281554618,-0.00012098148898051027,-0.013283075409473438,0.006432167183592875,-0.0027322263156068652,,-0.032099679720823636,-0.032099679720823636,-0.012920454721790296,-0.0199095383805828,-0.0091718494298116,-0.033867215942923794,-0.044723978057250265,,-0.030144717788259234,-0.030144717788259234,0.004942616710166355,-0.03736344912459084,-0.012606216078834154,-0.031070738723664053,-0.034092224545762106,,-0.012226063687301399,-0.012226063687301399,-0.00966273606384317,-0.014058911080219776,-0.014636974805119983,-0.027416538967433842,0.014719162133690128,,0.018151525689203887,0.018151525689203887,0.004693893053124272,0.01963770471062429,0.012429181349797582,0.029640289024554296,0.02208386398996582,-0.01359002407906186
s0,0.006291229171911164,1.0,0.10266668700097904,0.15150455441169178,-0.011755303706639453,0.008125499134878922,-0.0018525281951365707,-0.01771315028829309,-0.017713150288293043,-0.014488830014290502,-0.09091667879683668,-0.14732137183661712,-0.14913038273794882,-0.18109472103210625,-0.0730856276056745,-0.11223103683558246,-0.11232924850364084,-0.13160358796812408,,,,0.2577074727624948,-0.12627587803561327,-0.17395519104372212,-0.20400789172532025,-0.18646738292043447,,,,-0.029034052932398108,-0.05434902835133394,-0.06749077077057042,-0.04788617736321652,0.025226403893891667,,0.01148751072203274,0.01148751072203274,0.0558158692351663,-0.03610894917946078,0.016398171318173504,-0.04990538431402121,0.0002822061603067958,,0.019709041758378905,0.019709041758378905,0.03203890746858648,-0.024875835597559456,-0.0038629121802230804,0.043466125136083944,-0.024505077757075975,,-0.004974755094969536,-0.0066465238213404935,0.011996800631758946,0.001589800245936053,-0.018551237993648613,-0.018314404868989533,0.010101209828720826,,-0.018885405285937736,-0.01756827741548147,-0.038539529347852236,-0.02171466195846536,-0.015461490547008969,-0.009412816356942116,0.02088606474060097,,-0.024413793480095824,-0.024413793480095824,0.0031645622472638883,-0.025419149113610023,-0.03864251199082936,-0.010871430723454612,-0.01880638577725897,,-0.006554009731661444,-0.006554009731661444,-0.006670389435284748,-0.008000979995300805,0.017608903947023222,-0.02940044615765284,-0.015175818885438846,,-0.04391927718104043,-0.04391927718104043,-0.02173429551056642,-0.030120498545257387,-0.03425337587981459,-0.02970032639854529,-0.02905980753589925,,-0.023892479406935913,-0.023892479406935913,-0.012492502244148123,-0.015899413771937557,-0.019663709817625063,-0.017005920462001306,-0.017005920462001604,-0.9016092663108157
s1,-0.027577566813414736,0.10266668700097904,1.0,-0.1203983605786307,-0.2696780818779297,-0.016234494190034435,0.01059838520236513,-0.005810685167869931,-0.005810685167869331,0.003930471187245729,-0.007351012186960635,-0.01247914599550079,-0.015830970282512243,-0.018320688699991795,-0.11130960123422023,-0.17092816146662493,-0.17107773809294463,-0.20043260730773052,,,,-0.1483770869834048,-0.19231849120161945,0.25118164199583426,-0.0963650045058996,0.017089993435129496,,,,0.14453877746068775,0.021355496708364497,0.05276549335029528,0.1426343172232304,-0.26000697023283265,,-0.0668440199363711,-0.0668440199363711,-0.055124291811067976,0.002211712826959332,0.011849626068972581,-0.09381494611845766,0.07689842844771744,,0.016659451611603305,0.016659451611603305,-0.036661605788981276,0.032498351749481395,0.0027395786035431698,-0.003753729455051089,0.04058137563226614,,0.010148260709753382,0.007725765345936536,0.04361306749535193,-0.04967250788121046,-0.0018694742895899493,0.049865153620002906,-0.031862384800892984,,-0.0022929561061091814,-0.000319553478040402,0.024589809586807,-0.029715488577980936,-0.020363322102147245,-0.023406702105223918,-0.0010714234532032347,,0.01596294038268619,0.01596294038268619,0.014124853106577694,-0.014084927870322787,0.0030919870369697944,0.004828885600688858,0.024861642644834266,,0.021936762093130113,0.021936762093130113,0.014745096817118462,-0.012726687200746135,-0.011501663286195734,0.06788094712081082,0.0034900198612389877,,0.020045483649759707,0.020045483649759707,0.03440892794307857,0.019870740296146404,0.02062972778601366,-0.0035911869938269067,-0.010245426589983465,,-0.026124671080726955,-0.026124671080726955,-0.019026113461272122,-0.024214848593226552,-0.01754126323104756,-0.025900061164689573,-0.025900061164689434,-0.04891333949292742
s2,0.02196223230084103,0.15150455441169178,-0.1203983605786307,1.0,0.02424499166117276,-0.023957136245536772,0.0156399673007123,-0.008574789865152423,-0.008574789865151465,0.005800170466647923,-0.010847840311139638,-0.018415393626841744,-0.02336165867058585,-0.02703571975572858,-0.16425884607119604,-0.2522375630876598,-0.2524582923308373,-0.2957770796620858,,,,-0.218959090869576,-0.2838031319190463,-0.10915902587922155,0.021660781054163147,-0.10009642060619066,,,,0.007645557952244874,0.07625143327336469,-0.015246550981147664,0.011936798674298263,-0.0672711140793309,,-0.005296814732870486,-0.005296814732870486,0.04499060968954717,-0.03773481868004713,-0.05277088089150995,0.013468305169559552,0.025972848491463193,,0.033007974341034745,0.033007974341034745,0.009121429442872366,0.04795760382209174,-0.02262557666921746,0.011742255752332653,0.021819290912383896,,0.022241390609120736,0.018717200847093808,0.05022971009330078,-0.009239355433588559,0.02586980024819701,0.01608438447486596,-0.012767318169401413,,-0.018822816202342912,-0.01589167191140817,0.006552173909565343,-0.020369628417337082,-0.012128402596872107,-0.0017324068771852256,0.004639703374356003,,-0.013053259344595895,-0.013053259344595895,0.01404610780828919,-0.004750865228047877,-0.03557126328974814,0.024093337144340764,0.011890665299891556,,0.0006889936381295266,0.0006889936381295266,0.030679349630667246,-0.01079462203001475,-0.013700436062178654,-0.011454669832308117,-0.0017613540845551974,,0.012475801437100196,0.012475801437100196,0.000964763542231466,0.023259465257043126,-0.012527686205110576,0.006990817934775864,0.01625112307537885,,0.03717790489554963,0.03717790489554963,0.014870149652893992,0.03193957477050383,0.029039567106429912,0.025114516693098044,0.014558672273250396,-0.1095985904005411
s3,0.00275385861881496,-0.011755303706639453,-0.2696780818779297,0.02424499166117276,1.0,-0.6965990138050383,-0.04211825334070394,0.01710184390889548,0.017101843908895877,-0.020033973075516045,-0.006799966094751353,-0.00876662374054622,0.0038173566106053237,0.001050724131150386,0.010342539159985096,0.015882108855935186,0.016691993671047272,0.019369816178420367,,,,0.6906958491876262,-0.5210792693653337,-0.07976209301030449,0.11106849590242551,-0.0769125043735625,,,,0.03149729435459654,0.040552218958825756,-0.07011297025397475,-0.002838254214858675,0.06700910391040701,,0.02436433238658367,0.02436433238658367,-0.08101758372964206,0.06567548177872622,0.09636938020472084,-0.059687830609834874,-0.0011572792370192228,,-0.016720279844570404,-0.016720279844570404,-0.014480153077240049,0.015824397303184357,0.03913458315523609,0.021956877246915175,-0.049393264903438996,,0.012118638524410547,0.0039619548875517,-0.018986118334772092,0.024984798955466864,0.046470361013901715,-0.02654985246665614,-0.03472479983208161,,0.02811221438582937,0.034591117920392565,0.028609646028814245,0.0037362636666412523,0.005020332095244186,0.031014315210647216,0.037566903925017305,,0.008902086306079297,0.008902086306079297,0.013907933094449185,0.016322658537549644,-0.005685680839724843,0.041444052416132034,-0.014981863256711508,,-0.006830762709653502,-0.006830762709653502,-0.019124675468375582,-0.009785861395245827,0.028951441261923488,-0.01356724617107387,0.017217063172841027,,0.01500277679919091,0.01500277679919091,0.0036893613826892747,-0.008153352768548634,0.008579542361467398,0.009108845462603809,0.024657573540342426,,0.004612631644184217,0.004612631644184217,-0.011565542495544383,0.008919812708020738,0.01915817098975381,-0.009921938438560117,0.012784332809250036,0.02695133101147202
s4,0.006099608010413843,0.008125499134878922,-0.016234494190034435,-0.023957136245536772,-0.6965990138050383,1.0,0.04243965106706719,-0.016537982771859576,-0.016537982771858573,0.020698545050628597,0.0071296696240367025,0.009300962935275532,-0.0032759621245507316,-0.0003934276439728711,-0.010076883525230097,-0.015474165347665216,-0.016283662198190288,-0.018891427218621124,,,,-0.6916042774705335,0.5215172881782617,0.08039033246633903,-0.12808397991917478,-0.05718971659560493,,,,-0.11419945086322157,-0.07765950948921438,0.07485132377116452,-0.0787661128627954,0.11439828243827975,,0.009058570020043712,0.009058570020043712,0.14189055286956437,-0.090332259364272,-0.10248363429809546,0.11753905031426892,-0.05276005421172582,,0.025617131486994207,0.025617131486994207,0.04966044310177539,-0.009703971929505941,-0.0370293865900482,0.006164751929831391,0.02409749980371532,,-0.003765022047553277,0.004455540398096323,-0.009374213957674387,0.00618849374387295,-0.041748556055436904,-0.01884240295000304,0.05728040790180969,,0.015599840429995376,0.009062680773055363,-0.022961079039773732,0.031881819790772356,0.005472764029961888,0.0070195132925079205,-0.010359291962423724,,0.029481036198720816,0.029481036198720816,0.005796471725340223,0.005038537617181803,0.022955797853424557,-0.033069624004399084,0.04374584556557396,,0.02983574407444205,0.02983574407444205,0.03526518098265127,0.04431337203286404,0.0017699299998901244,0.02976048085875378,0.03254267896718557,,0.006619717616146715,0.006619717616146715,-0.015515345230650247,0.025652737901704765,0.014652440056271294,0.008623423384975543,0.020433303225353975,,0.04434226972591013,0.04434226972591013,0.03213881971875069,0.02348572768958716,0.020294827799348717,0.02512019768843776,0.04782558521824876,-0.028430727486858844
s5,0.01360380063554241,-0.0018525281951365707,0.01059838520236513,0.0156399673007123,-0.04211825334070394,0.04243965106706719,1.0,-0.39267320608585915,-0.3926732060858588,-0.039208130983482574,-0.015515640599599307,-0.020652736300085527,0.0043908338832783006,-0.001813402982436365,-0.008620252654177889,-0.013237348092334272,-0.011607648236159245,-0.013983565726141584,,,,-0.048526649351007936,0.16141874886373397,0.20552429681660314,0.020771568521964753,0.0930979222727532,,,,0.034125286303263155,0.07770350352616441,0.0077920745532278,-0.0018220785949742432,0.04020358077932418,,0.029068758952915386,0.029068758952915386,-0.006408438767190376,0.020674729817098177,-0.026144975158482818,0.035563721132464476,-0.04370532035441967,,0.035200525208588136,0.035200525208588136,0.003647206443501965,0.013269626260228238,0.008302103812930289,-0.07478778387161535,0.023465371813338052,,-0.0031892018025449563,-0.007354005988397744,-0.035860551849190625,0.03021255270240097,0.0017318308579036396,-0.019639562480125206,-0.016568806242525498,,-0.01415603666456259,-0.010864494180674438,-0.033641035393460444,-0.009619926870521512,0.009249527198772449,0.01169187665844916,-0.0014694522389506672,,-0.008516881856225627,-0.008516881856225627,-0.0067222101572693834,0.014450339119221656,-0.010349308433569727,-0.023616296736959096,0.0125827421278303,,-0.018390067673986425,-0.018390067673986425,-0.04012307796368136,-0.009361561531612671,-0.0368447900311257,-0.006423157813593339,-0.014324669782648528,,-0.012349815062122483,-0.012349815062122483,-0.00896951434979375,0.0022237019386916017,-0.022153696952414655,-0.029728862424075797,-0.032952696500456534,,-0.03246821122580628,-0.03246821122580628,-0.018383689982800256,-0.01938872434772378,-0.024381939036081934,-0.033278915474533405,-0.004016935121515195,0.013843785120792117
s6,-0.005341848010511541,-0.01771315028829309,-0.005810685167869931,-0.008574789865152423,0.01710184390889548,-0.016537982771859576,-0.39267320608585915,1.0,0.15769891242128659,0.018841533697226107,0.007794880524104986,0.010860820738807469,0.0010191346849836472,0.004055095622102376,0.004747057588239817,0.007289630157120371,0.0066488267370462765,0.007941174984013966,,,,0.0318306874277424,0.040222949962569074,0.18996255994509403,-0.1446686664559795,-0.11698137771115528,,,,0.05718698726896737,-0.027156732223303746,0.0030188905590860147,-0.02788603456224798,-0.08580865663082135,,-0.0060055909347844485,-0.0060055909347844485,0.029847613488577274,0.011648910888196954,0.02834137069248588,-0.03551974314354617,-0.004466327391233922,,-0.03618897555973718,-0.03618897555973718,-0.0038719356830845264,0.037897163663703694,0.0025583512923397296,0.04785837759686626,-0.014348751445614942,,-0.030418665726889872,-0.034298723957856464,0.023615157822512823,-0.023259788629886074,-0.057364361963636014,-0.011084570725289155,0.01300304283166911,,-0.031056890467415083,-0.02811968094197052,-0.01581818022091535,0.0066827053895418265,-0.0040150545116764145,-0.04165418624088959,-0.0024501769087571083,,-0.032058895314650684,-0.032058895314650684,0.0024684573742420677,-0.01593992661704691,-0.05438784135765883,-0.001718345403530545,0.008396063862670188,,0.027959239175150283,0.027959239175150283,0.03284490105869274,0.011840962997065448,0.023981113678535275,0.03330805530671973,0.029348558739864822,,0.03995834686032637,0.03995834686032637,0.02511229313361799,0.012934871108427812,0.040681133542989696,0.025704661865970837,0.040961961930351565,,0.04359573735070139,0.04359573735070139,0.028343616082567812,0.020267273472253426,0.039995720844210374,0.01728216448361128,0.03266674103390009,0.04408492837889153
s7,0.0320167670892293,-0.017713150288293043,-0.005810685167869331,-0.008574789865151465,0.017101843908895877,-0.016537982771858573,-0.3926732060858588,0.15769891242128659,1.0,0.018841533697226076,0.007794880524104945,0.010860820738807427,0.001019134684983656,0.004055095622102362,0.004747057588240027,0.007289630157120374,0.006648826737046371,0.007941174984014152,,,,0.03183068742774193,0.040222949962570614,-0.01816863452261492,-0.16966207194027427,-0.022893404843162525,,,,-0.03583046721912214,-0.05408806140181951,-0.06344940057848791,-0.010586582682674846,-0.0036834935529334294,,-0.006005590934784374,-0.006005590934784374,0.11752839189172497,-0.03814550609477571,-0.04084527613387588,0.02259808714080701,0.006623654901447519,,-0.008565419489110156,-0.008565419489110156,-0.005407664350916846,0.011006792486960225,-0.011322968496295731,0.01847352298547134,0.041130950984190603,,0.024292834357117942,0.02968031061883542,0.01331844053203011,-0.031747695956479895,0.0066133665171614064,0.004434882959071477,0.051829826232071136,,0.019571895537441028,0.015423657167213138,0.009461702695269431,0.022238508570291332,0.01630034226962118,0.014132235125921835,0.011149537211582086,,-0.023166124987809015,-0.023166124987809015,0.01485282500532461,-0.027624397711895506,-0.030302373547189416,0.02919296585923838,-0.002446242389123532,,0.0010231302010685918,0.0010231302010685918,0.04259533417954261,-0.025986642489300184,-0.004635781427772002,0.00619320501692295,-0.01346261807260724,,0.021260928176815873,0.021260928176815873,0.031162184971555564,-0.00032130730321504504,0.009367287525526492,0.012270312750085688,0.004385619089369397,,0.032558509510957394,0.032558509510957394,0.017911492254279415,0.02026727347225245,0.033324856211480895,0.055743605859336805,-0.005794700341827402,0.03365947640362893
s8,0.02087997228450568,-0.014488830014290502,0.003930471187245729,0.005800170466647923,-0.020033973075516045,0.020698545050628597,-0.039208130983482574,0.018841533697226107,0.018841533697226076,1.0,-0.006278569294209503,-0.00799984933484755,0.00415342262345651,0.0015831379475258179,-0.0031814632333624377,-0.004885487462199877,-0.004094883530996323,-0.004983578323084307,,,,-0.014145634099006573,0.046144827841358815,-0.010917527804409613,0.0554676440823707,0.009725068020100279,,,,-0.0773943338181817,0.02244135017649253,-0.09242338755104199,-0.0034187035304341987,-0.05070338180731029,,0.015314395540989383,0.015314395540989383,-0.05835382205785396,-0.009294177014774396,0.017621432619310567,-0.06116123544925965,0.0479725317898715,,0.02171821328258008,0.02171821328258008,-0.013607849492600603,0.04064353527537452,-0.02714392555568998,-0.02990191660722492,0.013741652015550164,,0.02019968039420909,0.025777991161868453,-0.011228227882242451,-0.012842000237165658,0.02466439313996467,0.03455917192671708,0.003215286810054796,,0.027981541556349854,0.023649560883063418,-0.005345013872203934,0.03759266424311642,0.045200547419408287,0.009294542155945974,0.011903178108236415,,0.025842728290848806,0.025842728290848806,0.04710954299997489,-7.086934083312197e-05,-0.006261917120894092,0.019918142014853438,0.04345862780986639,,0.03329306214918262,0.03329306214918262,0.0018957001536124166,0.047217464522745396,0.020169021650260043,0.006247313866186231,0.04393243246679504,,0.000739731462578824,0.000739731462578824,-0.03005554646825104,0.0036571914837973127,0.009928019883667838,-0.009594039492364884,0.014759306103593767,,-0.016077529233728263,-0.016077529233728263,0.006641979238201409,-0.010183416535010984,-0.023830875228031113,0.002064836589418735,-0.02060984282348308,0.02209900500525254
s9,0.022840426758159508,-0.09091667879683668,-0.007351012186960635,-0.010847840311139638,-0.006799966094751353,0.0071296696240367025,-0.015515640599599307,0.007794880524104986,0.007794880524104945,-0.006278569294209503,1.0,-0.38079056264160593,-0.3854664237903118,0.01697638037446177,0.005553893630187914,0.008528615830646792,0.0081514196845198,0.009640144278456891,,,,-0.025285855250332577,0.036102081472183,0.026088556107744774,-0.01824278793070283,-0.030095115387176744,,,,-0.019868002818905564,0.0031838349332761868,-0.013304231929435547,0.013976333232892487,0.051370892709288074,,0.029692471748400593,0.029692471748400593,-0.03639101055872475,0.09287583211165513,0.03199669653197995,-0.03306981051472045,-0.013494203619918575,,-0.011273695387100758,-0.011273695387100758,-0.050932748244789175,-0.01435812011931631,-0.004426472477573952,-0.021418873438724395,0.02864289574522363,,-0.04819256313331013,-0.03496989090789691,0.014259507172444362,-0.052534935246035544,0.009479760044492051,-0.01005340408083194,-0.023515202529892826,,-0.045998662113873226,-0.056658337560085294,-0.0001996117563805191,-0.04289119689669674,-0.05194813403540187,-0.011964482695805374,-0.057571115714870454,,-0.03825266754063325,-0.03825266754063325,-0.008556436791506982,-0.01453034505448535,-0.05295285375542908,-0.04254015218797614,-0.02011971912388127,,-0.02271850383723482,-0.02271850383723482,-0.006667541327827722,-0.035244650226854524,-0.0177457635531814,-0.004064950527670533,-0.015907616540458684,,-0.0043405028065138344,-0.0043405028065138344,-0.0031870190701882187,-0.011505301748648116,-0.01506956183377742,-0.015130885117870455,0.010701221695577317,,0.0072971982720356765,0.0072971982720356765,0.00687052456523522,4.193488517699615e-05,-0.0007431032569214858,0.02342043572857342,0.013795195908829673,0.08200336222568223
