p0,p1,p2,p3,s0,s1,s2,s3,s4,s5,s6,s7,s8,s9,s10,time
1,1,0,1,1,0,0,0,1,0,1,1,1,1,1,9944767
1,0,0,1,1,0,0,0,1,0,1,1,1,1,1,9768084
1,1,1,0,1,0,0,0,1,0,1,1,1,1,1,9566906
1,0,1,0,1,0,0,0,1,0,1,1,1,1,1,9564815
1,1,0,0,1,0,0,0,1,0,1,1,1,1,1,9541146
0,0,0,0,1,0,0,0,1,0,1,1,1,1,1,9546608
0,1,0,0,1,0,0,0,1,0,1,1,1,1,1,9549737
0,0,1,0,1,0,0,0,1,0,1,1,1,1,1,10928124
0,1,1,0,1,0,0,0,1,0,1,1,1,1,1,9561577
0,0,0,1,1,0,0,0,1,0,1,1,1,1,1,9552125
1,1,0,1,1,0,1,1,0,0,1,1,1,1,1,9559944
1,0,0,1,1,0,1,1,0,0,1,1,1,1,1,9550733
1,1,1,0,1,0,1,1,0,0,1,1,1,1,1,10922741
1,0,1,0,1,0,1,1,0,0,1,1,1,1,1,9563099
1,1,0,0,1,0,1,1,0,0,1,1,1,1,1,9557760
0,0,0,0,1,0,1,1,0,0,1,1,1,1,1,9563608
0,1,0,0,1,0,1,1,0,0,1,1,1,1,1,9556339
0,0,1,0,1,0,1,1,0,0,1,1,1,1,1,9551868
0,1,1,0,1,0,1,1,0,0,1,1,1,1,1,9556164
0,0,0,1,1,0,1,1,0,0,1,1,1,1,1,9555109
1,1,0,1,1,0,0,1,0,0,1,1,1,1,1,10923194
1,0,0,1,1,0,0,1,0,0,1,1,1,1,1,10918500
1,1,1,0,1,0,0,1,0,0,1,1,1,1,1,10923049
1,0,1,0,1,0,0,1,0,0,1,1,1,1,1,9569870
1,1,0,0,1,0,0,1,0,0,1,1,1,1,1,10915681
0,0,0,0,1,0,0,1,0,0,1,1,1,1,1,10936295
0,1,0,0,1,0,0,1,0,0,1,1,1,1,1,10911939
0,0,1,0,1,0,0,1,0,0,1,1,1,1,1,10962869
0,1,1,0,1,0,0,1,0,0,1,1,1,1,1,10913101
0,0,0,1,1,0,0,1,0,0,1,1,1,1,1,9573775
1,1,0,1,1,0,1,0,0,0,1,1,1,1,1,10920842
1,0,0,1,1,0,1,0,0,0,1,1,1,1,1,9570695
1,1,1,0,1,0,1,0,0,0,1,1,1,1,1,9558399
1,0,1,0,1,0,1,0,0,0,1,1,1,1,1,9579974
1,1,0,0,1,0,1,0,0,0,1,1,1,1,1,9561305
0,0,0,0,1,0,1,0,0,0,1,1,1,1,1,9568436
0,1,0,0,1,0,1,0,0,0,1,1,1,1,1,10916793
0,0,1,0,1,0,1,0,0,0,1,1,1,1,1,9570980
0,1,1,0,1,0,1,0,0,0,1,1,1,1,1,9568600
0,0,0,1,1,0,1,0,0,0,1,1,1,1,1,10920662
1,1,0,1,1,0,0,0,0,0,1,1,1,1,1,10930784
1,0,0,1,1,0,0,0,0,0,1,1,1,1,1,10921008
1,1,1,0,1,0,0,0,0,0,1,1,1,1,1,9567829
1,0,1,0,1,0,0,0,0,0,1,1,1,1,1,9569113
1,1,0,0,1,0,0,0,0,0,1,1,1,1,1,10923048
0,0,0,0,1,0,0,0,0,0,1,1,1,1,1,9599006
0,1,0,0,1,0,0,0,0,0,1,1,1,1,1,9578892
0,0,1,0,1,0,0,0,0,0,1,1,1,1,1,9554303
0,1,1,0,1,0,0,0,0,0,1,1,1,1,1,10918103
0,0,0,1,1,0,0,0,0,0,1,1,1,1,1,9569017
1,1,0,1,1,0,1,1,1,1,0,1,1,1,1,9571583
1,0,0,1,1,0,1,1,1,1,0,1,1,1,1,9574782
1,1,1,0,1,0,1,1,1,1,0,1,1,1,1,9568886
1,0,1,0,1,0,1,1,1,1,0,1,1,1,1,9565859
1,1,0,0,1,0,1,1,1,1,0,1,1,1,1,9576688
0,0,0,0,1,0,1,1,1,1,0,1,1,1,1,10922727
0,1,0,0,1,0,1,1,1,1,0,1,1,1,1,9581527
0,0,1,0,1,0,1,1,1,1,0,1,1,1,1,9573193
0,1,1,0,1,0,1,1,1,1,0,1,1,1,1,9628038
0,0,0,1,1,0,1,1,1,1,0,1,1,1,1,10929969
1,1,0,1,1,0,0,1,1,1,0,1,1,1,1,10928374
1,0,0,1,1,0,0,1,1,1,0,1,1,1,1,10469665
1,1,1,0,1,0,0,1,1,1,0,1,1,1,1,10915570
1,0,1,0,1,0,0,1,1,1,0,1,1,1,1,10951304
1,1,0,0,1,0,0,1,1,1,0,1,1,1,1,9565023
0,0,0,0,1,0,0,1,1,1,0,1,1,1,1,10944469
0,1,0,0,1,0,0,1,1,1,0,1,1,1,1,10926657
0,0,1,0,1,0,0,1,1,1,0,1,1,1,1,10923253
0,1,1,0,1,0,0,1,1,1,0,1,1,1,1,10917417
